Linea;PK;Longitud;Latitud
40;39180;-3.732.300;40.169.223
40;39190;-3.732.219;40.169.158
40;39200;-3.732.138;40.169.093
40;39210;-3.732.057;40.169.028
40;39220;-3.731.976;40.168.962
40;39230;-3.731.895;40.168.897
40;39240;-3.731.814;40.168.832
40;39250;-3.731.733;40.168.767
40;39260;-3.731.651;40.168.702
40;39270;-3.731.570;40.168.637
40;39280;-3.731.489;40.168.571
40;39290;-3.731.408;40.168.506
40;39300;-3.731.327;40.168.441
40;39310;-3.731.246;40.168.376
40;39320;-3.731.165;40.168.311
40;39330;-3.731.084;40.168.245
40;39340;-3.731.003;40.168.180
40;39350;-3.730.922;40.168.115
40;39360;-3.730.841;40.168.050
40;39370;-3.730.760;40.167.985
40;39380;-3.730.678;40.167.920
40;39390;-3.730.597;40.167.854
40;39400;-3.730.516;40.167.789
40;39410;-3.730.435;40.167.724
40;39420;-3.730.354;40.167.659
40;39430;-3.730.273;40.167.594
40;39440;-3.730.192;40.167.529
40;39450;-3.730.111;40.167.463
40;39460;-3.730.029;40.167.398
40;39470;-3.729.948;40.167.333
40;39480;-3.729.867;40.167.268
40;39490;-3.729.786;40.167.203
40;39500;-3.729.705;40.167.138
40;39510;-3.729.624;40.167.072
40;39520;-3.729.543;40.167.007
40;39530;-3.729.461;40.166.942
40;39540;-3.729.380;40.166.877
40;39550;-3.729.299;40.166.812
40;39560;-3.729.218;40.166.746
40;39570;-3.729.137;40.166.681
40;39580;-3.729.056;40.166.616
40;39590;-3.728.975;40.166.551
40;39600;-3.728.894;40.166.486
40;39610;-3.728.813;40.166.420
40;39620;-3.728.732;40.166.355
40;39630;-3.728.651;40.166.290
40;39640;-3.728.569;40.166.225
40;39650;-3.728.488;40.166.160
40;39660;-3.728.407;40.166.094
40;39670;-3.728.326;40.166.029
40;39680;-3.728.245;40.165.964
40;39690;-3.728.164;40.165.899
40;39700;-3.728.083;40.165.834
40;39710;-3.728.002;40.165.769
40;39720;-3.727.921;40.165.703
40;39730;-3.727.840;40.165.638
40;39740;-3.727.759;40.165.573
40;39750;-3.727.677;40.165.508
40;39760;-3.727.596;40.165.443
40;39770;-3.727.515;40.165.378
40;39780;-3.727.434;40.165.312
40;39790;-3.727.353;40.165.247
40;39800;-3.727.272;40.165.182
40;39810;-3.727.191;40.165.117
40;39820;-3.727.110;40.165.052
40;39830;-3.727.029;40.164.986
40;39840;-3.726.948;40.164.921
40;39850;-3.726.866;40.164.856
40;39860;-3.726.786;40.164.791
40;39870;-3.726.705;40.164.725
40;39880;-3.726.624;40.164.660
40;39890;-3.726.542;40.164.595
40;39900;-3.726.461;40.164.530
40;39910;-3.726.380;40.164.465
40;39920;-3.726.299;40.164.399
40;39930;-3.726.218;40.164.334
40;39940;-3.726.137;40.164.269
40;39950;-3.726.056;40.164.204
40;39960;-3.725.975;40.164.139
40;39970;-3.725.894;40.164.073
40;39980;-3.725.813;40.164.008
40;39990;-3.725.732;40.163.943
40;40000;-3.725.650;40.163.878
40;40010;-3.725.546;40.163.824
40;40020;-3.725.465;40.163.759
40;40030;-3.725.384;40.163.694
40;40040;-3.725.303;40.163.629
40;40050;-3.725.222;40.163.564
40;40060;-3.725.141;40.163.499
40;40070;-3.725.060;40.163.433
40;40080;-3.724.978;40.163.368
40;40090;-3.724.897;40.163.303
40;40100;-3.724.816;40.163.238
40;40110;-3.724.735;40.163.173
40;40120;-3.724.654;40.163.108
40;40130;-3.724.573;40.163.043
40;40140;-3.724.492;40.162.977
40;40150;-3.724.411;40.162.912
40;40160;-3.724.330;40.162.847
40;40170;-3.724.249;40.162.782
40;40180;-3.724.168;40.162.717
40;40190;-3.724.087;40.162.652
40;40200;-3.724.006;40.162.587
40;40210;-3.723.925;40.162.521
40;40220;-3.723.843;40.162.456
40;40230;-3.723.762;40.162.391
40;40240;-3.723.681;40.162.326
40;40250;-3.723.600;40.162.261
40;40260;-3.723.519;40.162.196
40;40270;-3.723.438;40.162.130
40;40280;-3.723.357;40.162.065
40;40290;-3.723.276;40.162.000
40;40300;-3.723.195;40.161.935
40;40310;-3.723.114;40.161.870
40;40320;-3.723.033;40.161.805
40;40330;-3.722.952;40.161.740
40;40340;-3.722.870;40.161.675
40;40350;-3.722.789;40.161.610
40;40360;-3.722.708;40.161.545
40;40370;-3.722.627;40.161.480
40;40380;-3.722.546;40.161.414
40;40390;-3.722.465;40.161.349
40;40400;-3.722.384;40.161.284
40;40410;-3.722.303;40.161.219
40;40420;-3.722.222;40.161.153
40;40430;-3.722.141;40.161.088
40;40440;-3.722.060;40.161.023
40;40450;-3.721.979;40.160.958
40;40460;-3.721.898;40.160.893
40;40470;-3.721.816;40.160.827
40;40480;-3.721.735;40.160.762
40;40490;-3.721.654;40.160.697
40;40500;-3.721.573;40.160.632
40;40510;-3.721.492;40.160.566
40;40520;-3.721.411;40.160.501
40;40530;-3.721.330;40.160.436
40;40540;-3.721.249;40.160.371
40;40550;-3.721.168;40.160.306
40;40560;-3.721.087;40.160.240
40;40570;-3.721.006;40.160.175
40;40580;-3.720.925;40.160.110
40;40590;-3.720.844;40.160.045
40;40600;-3.720.763;40.159.980
40;40610;-3.720.682;40.159.914
40;40620;-3.720.601;40.159.849
40;40630;-3.720.520;40.159.784
40;40640;-3.720.439;40.159.719
40;40650;-3.720.358;40.159.654
40;40660;-3.720.277;40.159.588
40;40670;-3.720.196;40.159.523
40;40680;-3.720.115;40.159.458
40;40690;-3.720.034;40.159.393
40;40700;-3.719.953;40.159.328
40;40710;-3.719.872;40.159.262
40;40720;-3.719.791;40.159.197
40;40730;-3.719.710;40.159.132
40;40740;-3.719.629;40.159.067
40;40750;-3.719.548;40.159.002
40;40760;-3.719.467;40.158.936
40;40770;-3.719.385;40.158.871
40;40780;-3.719.304;40.158.806
40;40790;-3.719.223;40.158.741
40;40800;-3.719.142;40.158.676
40;40810;-3.719.061;40.158.610
40;40820;-3.718.980;40.158.545
40;40830;-3.718.899;40.158.480
40;40840;-3.718.818;40.158.415
40;40850;-3.718.737;40.158.350
40;40860;-3.718.656;40.158.285
40;40870;-3.718.575;40.158.219
40;40880;-3.718.494;40.158.154
40;40890;-3.718.413;40.158.089
40;40900;-3.718.332;40.158.024
40;40910;-3.718.251;40.157.959
40;40920;-3.718.170;40.157.893
40;40930;-3.718.089;40.157.828
40;40940;-3.718.007;40.157.763
40;40950;-3.717.926;40.157.698
40;40960;-3.717.845;40.157.633
40;40970;-3.717.764;40.157.568
40;40980;-3.717.683;40.157.502
40;40990;-3.717.602;40.157.437
40;41000;-3.717.521;40.157.372
40;41010;-3.717.440;40.157.307
40;41020;-3.717.359;40.157.242
40;41030;-3.717.278;40.157.177
40;41040;-3.717.197;40.157.111
40;41050;-3.717.116;40.157.046
40;41060;-3.717.035;40.156.981
40;41070;-3.716.953;40.156.916
40;41080;-3.716.871;40.156.852
40;41090;-3.716.790;40.156.787
40;41100;-3.716.709;40.156.721
40;41110;-3.716.628;40.156.656
40;41120;-3.716.547;40.156.591
40;41130;-3.716.466;40.156.526
40;41140;-3.716.384;40.156.461
40;41150;-3.716.303;40.156.396
40;41160;-3.716.222;40.156.331
40;41170;-3.716.141;40.156.265
40;41180;-3.716.060;40.156.200
40;41190;-3.715.979;40.156.135
40;41200;-3.715.898;40.156.069
40;41210;-3.715.817;40.156.004
40;41220;-3.715.736;40.155.939
40;41230;-3.715.655;40.155.874
40;41240;-3.715.574;40.155.809
40;41250;-3.715.493;40.155.744
40;41260;-3.715.412;40.155.679
40;41270;-3.715.331;40.155.613
40;41280;-3.715.249;40.155.548
40;41290;-3.715.168;40.155.483
40;41300;-3.715.087;40.155.418
40;41310;-3.715.006;40.155.353
40;41320;-3.714.925;40.155.288
40;41330;-3.714.844;40.155.223
40;41340;-3.714.763;40.155.157
40;41350;-3.714.682;40.155.092
40;41360;-3.714.601;40.155.027
40;41370;-3.714.520;40.154.962
40;41380;-3.714.439;40.154.897
40;41390;-3.714.358;40.154.831
40;41400;-3.714.276;40.154.766
40;41410;-3.714.195;40.154.701
40;41420;-3.714.114;40.154.636
40;41430;-3.714.033;40.154.571
40;41440;-3.713.952;40.154.506
40;41450;-3.713.871;40.154.441
40;41460;-3.713.790;40.154.375
40;41470;-3.713.709;40.154.310
40;41480;-3.713.628;40.154.245
40;41490;-3.713.547;40.154.180
40;41500;-3.713.466;40.154.115
40;41510;-3.713.384;40.154.049
40;41520;-3.713.304;40.153.984
40;41530;-3.713.223;40.153.919
40;41540;-3.713.142;40.153.854
40;41550;-3.713.061;40.153.788
40;41560;-3.712.979;40.153.723
40;41570;-3.712.898;40.153.658
40;41580;-3.712.817;40.153.593
40;41590;-3.712.736;40.153.528
40;41600;-3.712.656;40.153.462
40;41610;-3.712.574;40.153.397
40;41620;-3.712.493;40.153.332
40;41630;-3.712.412;40.153.267
40;41640;-3.712.331;40.153.202
40;41650;-3.712.250;40.153.136
40;41660;-3.712.169;40.153.071
40;41670;-3.712.087;40.153.007
40;41680;-3.712.006;40.152.942
40;41690;-3.711.925;40.152.876
40;41700;-3.711.844;40.152.811
40;41710;-3.711.763;40.152.746
40;41720;-3.711.682;40.152.681
40;41730;-3.711.601;40.152.616
40;41740;-3.711.520;40.152.550
40;41750;-3.711.439;40.152.485
40;41760;-3.711.358;40.152.420
40;41770;-3.711.277;40.152.355
40;41780;-3.711.196;40.152.289
